URL,page family,target query,query cluster,baseline impressions,baseline clicks,baseline CTR,baseline position,old title,new title,old H1,new H1,change reason,deployment date placeholder
https://www.stockportfolio.pro/stocks/RJET,metric,site:stockportfolio.pro,other,5.0,0.0,0.0,2.6,,,,,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/CTSH/net-income,metric,cognizant ctsh revenue net income 2022 2023 2024 annual growth,revenue,8.0,0.0,0.0,8.0,CTSH Net Income History,CTSH Net Income History: $2.23B (2025) | Cognizant Technology Solutions,CTSH Net Income,Cognizant Technology Solutions Corporation Net Income 2007–2025,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/GOOGL,metric,alphabet inc. terminal growth assumption changes,other,1.0,0.0,0.0,1.0,,,,,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/META,metric,meta ebitda margin,margins,1.0,0.0,0.0,1.0,,,,,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/NTLA,metric,site:stockportfolio.pro,other,1.0,0.0,0.0,1.0,,,,,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/VMET,metric,site:stockportfolio.pro,other,4.0,0.0,0.0,4.25,,,,,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/compare/HOOD-vs-MCO,comparison,robinhood mco,other,6.0,0.0,0.0,8.333333333333332,"HOOD vs MCO Stock Comparison: Revenue, Margins, P/E and ROE",Robinhood Markets (HOOD) vs Moody&#39;s (MCO) | SEC-filed comparison,HOOD vs MCO: Which Stock Is the Better Buy?,"Robinhood Markets, Inc. (HOOD) vs Moody&#39;s Corporation (MCO)",Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/compare/LB-vs-MUR,comparison,mur vs lib,comparison,23.0,1.0,0.043478260869565216,6.956521739130435,"LB vs MUR Stock Comparison: Revenue, Margins, P/E and ROE",LandBridge Company LLC (LB) vs Murphy Oil (MUR) | SEC-filed comparison,LB vs MUR: Which Stock Is the Better Buy?,LandBridge Company LLC (LB) vs Murphy Oil Corporation (MUR),Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/compare/ALL-vs-MET,comparison,allstate vs metlife,comparison,18.0,0.0,0.0,11.444444444444445,"ALL vs MET Stock Comparison: Revenue, Margins, P/E and ROE",Allstate (ALL) vs MetLife (MET) | SEC-filed comparison,ALL vs MET: Which Stock Is the Better Buy?,"The Allstate Corporation (ALL) vs MetLife, Inc. (MET)",Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/TRIP/revenue,metric,site:stockportfolio.pro,other,2.0,0.0,0.0,5.0,TRIP Revenue History,TRIP Revenue History: $1.89B (2025) | Tripadvisor,TRIP Revenue,"Tripadvisor, Inc. Revenue 2009–2025",Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
