claim,source,date/window,metric,evidence,confidence,implication
"One buyer explicitly discovered the AppSumo lifetime deal","Customer presale email plus order timing",2026-08-03_to_2026-08-04,discovery,"buyer asked to purchase Tier 3 after seeing AppSumo",HIGH,"AppSumo offer and trust can close high-intent prospects"
"Google organic clicks are concentrated in comparisons","Google Search Console",2026-05-11_to_2026-08-18,page_clicks,"16 of 19 clicks on comparison pages",HIGH,"Protect comparison pages; no revenue attribution is proven"
"Recent Google search volume is very small","Google Search Console",2026-07-22_to_2026-08-18,search,"5 clicks; 1513 impressions; 0.33% CTR; avg position 24.19",HIGH,"SEO is not the shortest path to immediate revenue"
"WAB query impressions show no clicks","Google Search Console",2026-05-11_to_2026-08-18,WAB,"quoted/test-like queries dominate; zero clicks",HIGH,"Do not mistake rank-check patterns for commercial demand"
"Bing produced 38 clicks","Bing Webmaster API",2026-06-13_to_2026-08-18,search,"38 clicks; 3929 impressions; 17707 indexed",HIGH,"Bing contributes real traffic but purchase attribution remains unknown"
"X produced no verified customers","X Content export plus first-party events",through_2026-08-11,customers,"37 native link clicks; first-party X events show zero signups/activations/purchases",MEDIUM,"Use X for evidence-led testing, not as a proven revenue channel"
"A detailed NVDA original outperformed tracked replies on link clicks","X native export plus tracker",through_2026-08-11,link_clicks,"NVDA post 7 clicks; 37 tracked replies 2 clicks",MEDIUM,"Prefer one strong sourced research post over reply volume"
"Public review validates efficiency but raises accuracy verification","AppSumo public review",2026-08-13,reviews,"1 review; 5 tacos; reviewer still cross-verifying accuracy",HIGH,"Lead with evidence inspection and avoid absolute accuracy claims"
"Buyer requests include ETF coverage and API/MCP/alerts","AppSumo Q&A",2026-07-14_to_2026-08-17,requests,"four distinct Q&A themes; each low frequency",HIGH,"Use as discovery evidence; not enough to justify building API/MCP"
"Current Clarity recent traffic includes more bots than humans","Authenticated Microsoft Clarity",last_3_days_as_of_2026-08-21,sessions,"31 human sessions; 86 bot sessions excluded",HIGH,"Raw traffic spikes must be filtered before interpreting growth"
"Recent external Clarity sessions were shallow","Authenticated Microsoft Clarity recording sample",2026-08-19_to_2026-08-21,behavior,"3 search sessions produced 1 click and no cross-page navigation; the X session produced 1 click and stayed on the homepage",MEDIUM,"Improve landing-to-next-step discovery; do not infer population rates from the purposive sample"
"Nominal Clarity duration overstates active engagement","Authenticated Microsoft Clarity recording sample",2026-08-19_to_2026-08-21,engagement,"at least 6 of 10 sampled sessions were hidden or backgrounded early",MEDIUM,"Use verified actions, active time and page depth rather than raw duration"
"Sampled clicks were concentrated in two screener sessions","Authenticated Microsoft Clarity recording sample",2026-08-19_to_2026-08-21,clicks,"2 screener sessions generated 85 of 95 sampled click events; one contained a dead click and one looked potentially QA-like",MEDIUM,"Do not interpret aggregate click counts as broad engagement; reproduce the dead-click control separately"
"GA4 current API analysis is blocked","Google Analytics Data API",2026-08-21,access,"analyticsdata.googleapis.com disabled in project 697172610671",HIGH,"GA4 cannot currently validate channel conversions"
"AppSumo partner link advertises 90% revenue for new AppSumo customers","Authenticated Partner Portal promotion screen",2026-08-21,partner_link,"portal states 90% of total revenue from every new customer brought through unique URL",HIGH,"New-to-AppSumo prospects could materially improve unit economics; eligibility must be verified per buyer"
